Date,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Saudi riyal,UAE dirham,Thai baht,Korean won,South African rand,Australian dollar,Quarter,Year
1989-09-30,367.1876923076923,319.44307692307694,52170.01999999999,229.9384615384615,433.583076923077,608.3261538461538,6054.2646153846135,1374.7984615384614,1346.1307692307691,9419.40153846154,245115.36153846158,1001.9846153846153,479.8446153846153,3,1989
1989-12-31,389.8969230769231,322.6876923076923,55813.06307692309,245.90923076923073,455.5076923076923,625.9092307692308,6551.884615384617,1462.7953846153846,1431.9938461538463,10015.029230769234,262463.07538461534,1022.6138461538463,499.0646153846154,4,1989
1990-03-31,406.2446153846154,314.83076923076936,60042.936923076915,245.3046153846154,480.05230769230786,611.8553846153845,6891.998461538461,1521.7446153846154,1489.9584615384613,10423.350769230768,280063.95692307694,1043.2830769230766,530.0753846153847,1,1990
1990-06-30,365.3769230769231,278.586153846154,56724.63846153846,218.24461538461534,427.5246153846153,527.3261538461535,6316.94,1368.8276923076928,1340.3707692307692,9423.789230769231,258974.35692307696,968.7200000000001,475.7030769230768,2,1990
1990-09-30,382.42307692307685,276.55076923076933,55520.73846153847,205.1446153846154,440.6876923076925,509.9861538461537,6689.212307692304,1433.3661538461536,1403.4799999999998,9738.984615384614,273352.20461538463,989.4415384615384,472.8984615384615,3,1990
1990-12-31,380.32424242424236,261.9469696969698,49760.76969696971,195.64696969696965,441.5757575757577,484.2242424242425,6875.356060606063,1426.063636363636,1396.6530303030306,9523.018181818183,271689.5575757576,963.7969696969699,486.05303030303014,4,1990
1991-03-31,370.72343749999993,263.1484375,49651.48437500001,194.61093749999998,428.6343749999999,485.2328125000001,6963.4578125,1391.5531250000001,1362.9312499999996,9350.010937500001,267847.10468750005,958.5499999999998,476.5437500000001,1,1991
1991-06-30,360.37538461538463,287.9123076923077,49845.08461538463,210.9907692307692,414.1599999999998,531.130769230769,7372.176923076922,1352.0184615384615,1322.8030769230768,9222.17230769231,261743.41230769237,1008.7846153846156,467.57846153846157,2,1991
1991-09-30,357.8393939393939,288.7530303030302,48813.73181818181,212.56969696969696,409.3242424242425,543.55,9189.359090909089,1340.940909090909,1312.5030303030305,9174.586363636361,261950.97727272732,1024.0924242424242,457.64545454545447,3,1991
1991-12-31,359.969696969697,272.15909090909076,46585.712121212106,202.79848484848492,408.410606060606,515.6333333333332,9285.578787878789,1346.4969696969697,1320.25,9145.375757575755,270750.6015151515,1006.0090909090906,459.2651515151515,4,1991
1992-03-31,350.85538461538465,264.17999999999995,45100.86461538461,198.1338461538461,412.75076923076927,510.29076923076923,9355.833846153848,1316.9723076923071,1289.6292307692304,8926.623076923077,269173.7569230769,991.4353846153846,466.5676923076924,1,1992
1992-06-30,338.87999999999994,253.98923076923072,44151.54461538461,187.59846153846155,404.62153846153865,500.77076923076913,9681.604615384615,1268.8738461538455,1243.1215384615389,8634.03230769231,265063.86461538455,963.3830769230766,446.6569230769232,2,1992
